participante_id,timestamp_inicio,timestamp_respuesta,timestamp_fin,edad,genero,estudios,audicion,castellano,audio_index,audio_filename,mensaje,ruido,nivel,molestia,ref_52,ref_56,ref_60,ref_64,ref_68,fuentes,afectiva_agradable,afectiva_caotico,afectiva_estimulante,afectiva_sinactividad,afectiva_calmado,afectiva_molesto,afectiva_conactividad,afectiva_monotono
2,2026-06-10T16:51:08.243Z,2026-06-10T17:01:52.211Z,2026-06-10T17:03:47.365Z,25-35,Masculino,Estudios_Universitarios,No,Si,15,mensaje2_voices_high_hrtf.wav,mensaje2,voices,high,8,0,0,0,0,0,humano,1,5,2,1,1,5,5,1
2,2026-06-10T16:51:08.243Z,2026-06-10T17:02:31.867Z,2026-06-10T17:03:47.365Z,25-35,Masculino,Estudios_Universitarios,No,Si,16,mensaje2_nature_equal_hrtf.wav,mensaje2,nature,equal,0,0,0,0,0,0,humano;natural,3,3,2,1,3,2,5,1
2,2026-06-10T16:51:08.243Z,2026-06-10T17:03:04.540Z,2026-06-10T17:03:47.365Z,25-35,Masculino,Estudios_Universitarios,No,Si,17,mensaje2_nature_low_hrtf.wav,mensaje2,nature,low,0,0,0,0,0,0,humano;natural,5,3,4,1,4,1,5,1
2,2026-06-10T16:51:08.243Z,2026-06-10T17:03:47.365Z,2026-06-10T17:03:47.365Z,25-35,Masculino,Estudios_Universitarios,No,Si,18,mensaje2_nature_high_hrtf.wav,mensaje2,nature,high,0,0,0,0,0,0,humano;natural,5,3,3,1,3,1,5,1
3,2026-06-10T17:05:47.323Z,2026-06-10T17:10:40.843Z,2026-06-10T17:23:50.398Z,25-35,Masculino,Estudios_Universitarios,No,Si,1,mensaje1_road_equal_hrtf.wav,mensaje1,road,equal,2,0,0,0,0,0,trafico;humano,2,3,1,3,3,4,4,5
3,2026-06-10T17:05:47.323Z,2026-06-10T17:11:56.235Z,2026-06-10T17:23:50.398Z,25-35,Masculino,Estudios_Universitarios,No,Si,2,mensaje1_road_low_hrtf.wav,mensaje1,road,low,1,0,0,0,0,0,trafico;humano,1,1,1,3,4,3,2,5
3,2026-06-10T17:05:47.323Z,2026-06-10T17:12:36.534Z,2026-06-10T17:23:50.398Z,25-35,Masculino,Estudios_Universitarios,No,Si,3,mensaje1_road_high_hrtf.wav,mensaje1,road,high,1,0,0,0,0,0,trafico;humano,1,1,1,3,2,3,2,5
3,2026-06-10T17:05:47.323Z,2026-06-10T17:13:19.817Z,2026-06-10T17:23:50.398Z,25-35,Masculino,Estudios_Universitarios,No,Si,4,mensaje1_voices_equal_hrtf.wav,mensaje1,voices,equal,5,0,0,0,0,0,humano,1,5,1,1,1,5,5,1
3,2026-06-10T17:05:47.323Z,2026-06-10T17:14:34.057Z,2026-06-10T17:23:50.398Z,25-35,Masculino,Estudios_Universitarios,No,Si,5,mensaje1_voices_low_hrtf.wav,mensaje1,voices,low,3,0,0,0,0,0,humano,1,5,1,1,1,5,5,1
3,2026-06-10T17:05:47.323Z,2026-06-10T17:14:59.833Z,2026-06-10T17:23:50.398Z,25-35,Masculino,Estudios_Universitarios,No,Si,6,mensaje1_voices_high_hrtf.wav,mensaje1,voices,high,8,0,0,0,0,0,humano,1,5,1,1,1,5,5,1
3,2026-06-10T17:05:47.323Z,2026-06-10T17:15:54.964Z,2026-06-10T17:23:50.398Z,25-35,Masculino,Estudios_Universitarios,No,Si,7,mensaje1_nature_equal_hrtf.wav,mensaje1,nature,equal,0,0,0,0,0,0,humano;natural,4,1,3,1,5,1,5,1
3,2026-06-10T17:05:47.323Z,2026-06-10T17:17:03.919Z,2026-06-10T17:23:50.398Z,25-35,Masculino,Estudios_Universitarios,No,Si,8,mensaje1_nature_low_hrtf.wav,mensaje1,nature,low,1,0,0,0,0,0,humano;natural,3,1,2,1,4,1,4,2
3,2026-06-10T17:05:47.323Z,2026-06-10T17:17:49.129Z,2026-06-10T17:23:50.398Z,25-35,Masculino,Estudios_Universitarios,No,Si,9,mensaje1_nature_high_hrtf.wav,mensaje1,nature,high,0,0,0,0,0,0,humano;natural,5,1,3,1,5,1,4,1
3,2026-06-10T17:05:47.323Z,2026-06-10T17:18:43.545Z,2026-06-10T17:23:50.398Z,25-35,Masculino,Estudios_Universitarios,No,Si,10,mensaje2_road_equal_hrtf.wav,mensaje2,road,equal,3,0,0,0,0,0,trafico;humano,1,5,1,1,1,4,5,4
3,2026-06-10T17:05:47.323Z,2026-06-10T17:19:38.518Z,2026-06-10T17:23:50.398Z,25-35,Masculino,Estudios_Universitarios,No,Si,11,mensaje2_road_low_hrtf.wav,mensaje2,road,low,1,0,0,0,0,0,trafico;humano,2,3,1,1,1,4,4,2
3,2026-06-10T17:05:47.323Z,2026-06-10T17:20:15.843Z,2026-06-10T17:23:50.398Z,25-35,Masculino,Estudios_Universitarios,No,Si,12,mensaje2_road_high_hrtf.wav,mensaje2,road,high,2,0,0,0,0,0,trafico;humano,1,4,1,2,1,5,4,1
3,2026-06-10T17:05:47.323Z,2026-06-10T17:21:03.342Z,2026-06-10T17:23:50.398Z,25-35,Masculino,Estudios_Universitarios,No,Si,13,mensaje2_voices_equal_hrtf.wav,mensaje2,voices,equal,5,0,0,0,0,0,humano,1,5,1,1,1,5,5,1
3,2026-06-10T17:05:47.323Z,2026-06-10T17:21:34.309Z,2026-06-10T17:23:50.398Z,25-35,Masculino,Estudios_Universitarios,No,Si,14,mensaje2_voices_low_hrtf.wav,mensaje2,voices,low,6,0,0,0,0,0,humano,1,5,1,1,1,5,5,1
3,2026-06-10T17:05:47.323Z,2026-06-10T17:22:17.615Z,2026-06-10T17:23:50.398Z,25-35,Masculino,Estudios_Universitarios,No,Si,15,mensaje2_voices_high_hrtf.wav,mensaje2,voices,high,9,0,0,0,0,0,humano,1,5,1,1,1,5,5,1
3,2026-06-10T17:05:47.323Z,2026-06-10T17:22:49.924Z,2026-06-10T17:23:50.398Z,25-35,Masculino,Estudios_Universitarios,No,Si,16,mensaje2_nature_equal_hrtf.wav,mensaje2,nature,equal,3,0,0,0,0,0,humano;natural,4,2,2,5,5,2,3,3
3,2026-06-10T17:05:47.323Z,2026-06-10T17:23:18.724Z,2026-06-10T17:23:50.398Z,25-35,Masculino,Estudios_Universitarios,No,Si,17,mensaje2_nature_low_hrtf.wav,mensaje2,nature,low,0,0,0,0,0,0,humano;natural,4,1,3,4,4,1,4,1
3,2026-06-10T17:05:47.323Z,2026-06-10T17:23:50.398Z,2026-06-10T17:23:50.398Z,25-35,Masculino,Estudios_Universitarios,No,Si,18,mensaje2_nature_high_hrtf.wav,mensaje2,nature,high,1,0,0,0,0,0,humano;natural,4,3,5,1,5,2,4,2
4,2026-06-17T13:18:26.414Z,2026-06-17T13:23:48.557Z,2026-06-17T13:42:25.099Z,55-65,Femenino,Estudios_Universitarios,No,Si,1,mensaje1_road_equal_hrtf.wav,mensaje1,road,equal,8,1,2,3,4,8,trafico;humano,3,2,4,1,1,2,5,1
4,2026-06-17T13:18:26.414Z,2026-06-17T13:25:26.647Z,2026-06-17T13:42:25.099Z,55-65,Femenino,Estudios_Universitarios,No,Si,2,mensaje1_road_low_hrtf.wav,mensaje1,road,low,2,1,2,3,4,8,trafico;humano,4,1,4,1,4,1,5,1
4,2026-06-17T13:18:26.414Z,2026-06-17T13:26:35.041Z,2026-06-17T13:42:25.099Z,55-65,Femenino,Estudios_Universitarios,No,Si,3,mensaje1_road_high_hrtf.wav,mensaje1,road,high,8,1,2,3,4,8,trafico;humano,1,4,1,1,1,5,5,1
4,2026-06-17T13:18:26.414Z,2026-06-17T13:27:41.089Z,2026-06-17T13:42:25.099Z,55-65,Femenino,Estudios_Universitarios,No,Si,4,mensaje1_voices_equal_hrtf.wav,mensaje1,voices,equal,8,1,2,3,4,8,humano,1,5,1,1,1,5,5,1
4,2026-06-17T13:18:26.414Z,2026-06-17T13:28:49.699Z,2026-06-17T13:42:25.099Z,55-65,Femenino,Estudios_Universitarios,No,Si,5,mensaje1_voices_low_hrtf.wav,mensaje1,voices,low,6,1,2,3,4,8,humano,3,1,3,1,3,1,4,1
4,2026-06-17T13:18:26.414Z,2026-06-17T13:29:49.063Z,2026-06-17T13:42:25.099Z,55-65,Femenino,Estudios_Universitarios,No,Si,6,mensaje1_voices_high_hrtf.wav,mensaje1,voices,high,10,1,2,3,4,8,humano,1,5,1,1,1,5,5,1
4,2026-06-17T13:18:26.414Z,2026-06-17T13:32:17.398Z,2026-06-17T13:42:25.099Z,55-65,Femenino,Estudios_Universitarios,No,Si,7,mensaje1_nature_equal_hrtf.wav,mensaje1,nature,equal,6,1,2,3,4,8,humano;natural,4,4,1,1,1,3,5,1
4,2026-06-17T13:18:26.414Z,2026-06-17T13:33:31.153Z,2026-06-17T13:42:25.099Z,55-65,Femenino,Estudios_Universitarios,No,Si,8,mensaje1_nature_low_hrtf.wav,mensaje1,nature,low,3,1,2,3,4,8,humano;natural,5,3,3,1,4,1,5,1
4,2026-06-17T13:18:26.414Z,2026-06-17T13:34:25.224Z,2026-06-17T13:42:25.099Z,55-65,Femenino,Estudios_Universitarios,No,Si,9,mensaje1_nature_high_hrtf.wav,mensaje1,nature,high,8,1,2,3,4,8,humano;natural,2,4,2,1,1,5,5,1
4,2026-06-17T13:18:26.414Z,2026-06-17T13:35:24.749Z,2026-06-17T13:42:25.099Z,55-65,Femenino,Estudios_Universitarios,No,Si,10,mensaje2_road_equal_hrtf.wav,mensaje2,road,equal,5,1,2,3,4,8,trafico;humano,3,3,3,1,3,3,3,3
4,2026-06-17T13:18:26.414Z,2026-06-17T13:36:18.895Z,2026-06-17T13:42:25.099Z,55-65,Femenino,Estudios_Universitarios,No,Si,11,mensaje2_road_low_hrtf.wav,mensaje2,road,low,2,1,2,3,4,8,trafico;humano,4,1,4,1,3,1,4,1
4,2026-06-17T13:18:26.414Z,2026-06-17T13:37:05.429Z,2026-06-17T13:42:25.099Z,55-65,Femenino,Estudios_Universitarios,No,Si,12,mensaje2_road_high_hrtf.wav,mensaje2,road,high,8,1,2,3,4,8,trafico;humano,1,4,1,1,1,4,4,1
4,2026-06-17T13:18:26.414Z,2026-06-17T13:37:52.151Z,2026-06-17T13:42:25.099Z,55-65,Femenino,Estudios_Universitarios,No,Si,13,mensaje2_voices_equal_hrtf.wav,mensaje2,voices,equal,9,1,2,3,4,8,humano,1,5,1,1,1,5,4,1
4,2026-06-17T13:18:26.414Z,2026-06-17T13:38:42.993Z,2026-06-17T13:42:25.099Z,55-65,Femenino,Estudios_Universitarios,No,Si,14,mensaje2_voices_low_hrtf.wav,mensaje2,voices,low,6,1,2,3,4,8,humano,3,2,3,1,3,1,3,1
4,2026-06-17T13:18:26.414Z,2026-06-17T13:39:24.202Z,2026-06-17T13:42:25.099Z,55-65,Femenino,Estudios_Universitarios,No,Si,15,mensaje2_voices_high_hrtf.wav,mensaje2,voices,high,10,1,2,3,4,8,humano,1,5,1,1,1,5,5,1
4,2026-06-17T13:18:26.414Z,2026-06-17T13:40:25.385Z,2026-06-17T13:42:25.099Z,55-65,Femenino,Estudios_Universitarios,No,Si,16,mensaje2_nature_equal_hrtf.wav,mensaje2,nature,equal,7,1,2,3,4,8,humano;natural,3,1,3,1,3,3,3,1
4,2026-06-17T13:18:26.414Z,2026-06-17T13:41:16.654Z,2026-06-17T13:42:25.099Z,55-65,Femenino,Estudios_Universitarios,No,Si,17,mensaje2_nature_low_hrtf.wav,mensaje2,nature,low,2,1,2,3,4,8,humano;natural,4,1,4,1,5,1,4,1
4,2026-06-17T13:18:26.414Z,2026-06-17T13:42:25.098Z,2026-06-17T13:42:25.099Z,55-65,Femenino,Estudios_Universitarios,No,Si,18,mensaje2_nature_high_hrtf.wav,mensaje2,nature,high,9,1,2,3,4,8,humano;natural,1,4,1,1,1,3,4,1
5,2026-06-18T05:35:43.646Z,2026-06-18T05:39:18.041Z,2026-06-18T05:55:23.792Z,18-25,Femenino,Estudios_Universitarios,No,Si,1,mensaje1_road_equal_hrtf.wav,mensaje1,road,equal,2,0,0,0,0,0,trafico;humano,3,1,4,1,4,2,4,2
5,2026-06-18T05:35:43.646Z,2026-06-18T05:40:45.266Z,2026-06-18T05:55:23.792Z,18-25,Femenino,Estudios_Universitarios,No,Si,2,mensaje1_road_low_hrtf.wav,mensaje1,road,low,3,0,0,0,0,0,trafico;humano,2,2,3,1,5,2,5,4
5,2026-06-18T05:35:43.646Z,2026-06-18T05:41:45.471Z,2026-06-18T05:55:23.792Z,18-25,Femenino,Estudios_Universitarios,No,Si,3,mensaje1_road_high_hrtf.wav,mensaje1,road,high,5,0,0,0,0,0,trafico;humano,2,3,4,1,2,4,5,2
5,2026-06-18T05:35:43.646Z,2026-06-18T05:43:17.361Z,2026-06-18T05:55:23.792Z,18-25,Femenino,Estudios_Universitarios,No,Si,4,mensaje1_voices_equal_hrtf.wav,mensaje1,voices,equal,6,0,0,0,0,0,trafico;humano,1,4,5,1,1,4,5,1
5,2026-06-18T05:35:43.646Z,2026-06-18T05:44:46.477Z,2026-06-18T05:55:23.792Z,18-25,Femenino,Estudios_Universitarios,No,Si,5,mensaje1_voices_low_hrtf.wav,mensaje1,voices,low,4,0,0,0,0,0,humano,4,4,4,1,4,2,5,2
5,2026-06-18T05:35:43.646Z,2026-06-18T05:45:50.982Z,2026-06-18T05:55:23.792Z,18-25,Femenino,Estudios_Universitarios,No,Si,6,mensaje1_voices_high_hrtf.wav,mensaje1,voices,high,7,0,0,0,0,0,humano,2,5,5,1,2,5,5,3
5,2026-06-18T05:35:43.646Z,2026-06-18T05:46:38.489Z,2026-06-18T05:55:23.792Z,18-25,Femenino,Estudios_Universitarios,No,Si,7,mensaje1_nature_equal_hrtf.wav,mensaje1,nature,equal,0,0,0,0,0,0,natural,5,1,5,4,5,1,2,4
